# BEGIN PLOT
LegendOnly=/CMS_2018_I1680318/d02-x02-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1680318/d02-x02-y01
DrawOnly=/CMS_2018_I1680318/d02-x02-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1680318/d02-x02-y01
YMax=100.
Title=CMS, 13 TeV, $pp$ Non-Single Diffractive enhanced
RatioPlotReference=/CMS_2018_I1680318/d02-x02-y01
RatioPlot=1
LogX=1
LogY=1
RatioPlotYMax=1.4
XLabel=$p_{T} [GeV]$ 
YLabel=$(1/N^{tot}_{events})dN_{ch}/dp_{T}$ 
YMin=0.000001
Legend=1
RatioPlotYMin=0.6
# END PLOT

# BEGIN HISTO1D /CMS_2018_I1680318/d02-x02-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2018_I1680318/d02-x02-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	6.000000e-01	2.956954e+01	1.382288e+00	1.281576e+00
6.000000e-01	8.000000e-01	2.045782e+01	9.119724e-01	8.618805e-01
8.000000e-01	1.300000e+00	9.544828e+00	4.151940e-01	3.955391e-01
1.300000e+00	1.600000e+00	4.055611e+00	1.819116e-01	1.701613e-01
1.600000e+00	2.300000e+00	1.717356e+00	7.972953e-02	7.133560e-02
2.300000e+00	3.200000e+00	4.935739e-01	2.354408e-02	2.055412e-02
3.200000e+00	4.500000e+00	1.215576e-01	5.712714e-03	5.079605e-03
4.500000e+00	6.300000e+00	2.505338e-02	1.134970e-03	1.056488e-03
6.300000e+00	9.000000e+00	4.678690e-03	2.103958e-04	2.069911e-04
9.000000e+00	1.200000e+01	9.457800e-04	4.542642e-05	5.019742e-05
1.200000e+01	1.800000e+01	1.833400e-04	1.009476e-05	1.194247e-05
1.800000e+01	5.000000e+01	8.570000e-06	7.262231e-07	8.237718e-07
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1680318/d02-x02-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1680318/d02-x02-y01
ScaledBy=2.95235576610946471e-15
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	6.000000e-01	6.253059e+01	1.131387e-01	1.131387e-01
6.000000e-01	8.000000e-01	4.401335e+01	6.710881e-02	6.710881e-02
8.000000e-01	1.300000e+00	2.114970e+01	2.941574e-02	2.941574e-02
1.300000e+00	1.600000e+00	1.001702e+01	2.613354e-02	2.613354e-02
1.600000e+00	2.300000e+00	4.765069e+00	1.179988e-02	1.179988e-02
2.300000e+00	3.200000e+00	1.592299e+00	6.012769e-03	6.012769e-03
3.200000e+00	4.500000e+00	4.478038e-01	2.649677e-03	2.649677e-03
4.500000e+00	6.300000e+00	1.147823e-01	1.140352e-03	1.140352e-03
6.300000e+00	9.000000e+00	2.598235e-02	4.421588e-04	4.421588e-04
9.000000e+00	1.200000e+01	6.212353e-03	2.052600e-04	2.052600e-04
1.200000e+01	1.800000e+01	1.225589e-03	6.432677e-05	6.432677e-05
1.800000e+01	5.000000e+01	5.570862e-05	6.005663e-06	6.005663e-06
# END HISTO1D

