# BEGIN PLOT
LegendOnly=/CMS_2021_I1932460/d09-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2021_I1932460/d09-x01-y01
DrawOnly=/CMS_2021_I1932460/d09-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2021_I1932460/d09-x01-y01
YMax=30
Title=CMS, 13 TeV, 4-jet production
RatioPlotReference=/CMS_2021_I1932460/d09-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=1.32
XLabel=$\Delta\phi_{\rm Soft}$ [rad]
YLabel=dN/d$\Delta\phi_{\rm Soft}$ [a.u.]
YMin=0.2
Legend=1
RatioPlotYMin=0.82
# END PLOT

# BEGIN HISTO1D /CMS_2021_I1932460/d09-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2021_I1932460/d09-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.618000e-01	9.033100e-01	3.383000e-02	3.334100e-02
2.618000e-01	5.236000e-01	1.065900e+00	3.547800e-02	3.559100e-02
5.236000e-01	7.854000e-01	1.080200e+00	3.530700e-02	3.792900e-02
7.854000e-01	1.047200e+00	9.506200e-01	3.089600e-02	3.037600e-02
1.047200e+00	1.309000e+00	9.114700e-01	3.180200e-02	3.255200e-02
1.309000e+00	1.570800e+00	9.142300e-01	3.776600e-02	3.911400e-02
1.570800e+00	1.832600e+00	1.014800e+00	5.681600e-02	5.970400e-02
1.832600e+00	2.094400e+00	1.092800e+00	3.423200e-02	3.390000e-02
2.094400e+00	2.356200e+00	1.235100e+00	4.211200e-02	4.085800e-02
2.356200e+00	2.618000e+00	1.346100e+00	4.403100e-02	4.187200e-02
2.618000e+00	2.879800e+00	1.583800e+00	5.734400e-02	5.767100e-02
2.879800e+00	3.141600e+00	1.764500e+00	5.656600e-02	5.472400e-02
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2021_I1932460/d09-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2021_I1932460/d09-x01-y01
ScaledBy=1.36266984185742821e-11
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.618000e-01	1.071429e+00	6.185896e-01	6.185896e-01
2.618000e-01	5.236000e-01	1.071429e+00	6.185896e-01	6.185896e-01
5.236000e-01	7.854000e-01	1.071429e+00	6.185896e-01	6.185896e-01
7.854000e-01	1.047200e+00	7.142857e-01	5.050763e-01	5.050763e-01
1.047200e+00	1.309000e+00	1.071429e+00	6.185896e-01	6.185896e-01
1.309000e+00	1.570800e+00	1.071429e+00	6.185896e-01	6.185896e-01
1.570800e+00	1.832600e+00	3.571429e-01	3.571429e-01	3.571429e-01
1.832600e+00	2.094400e+00	1.071429e+00	6.185896e-01	6.185896e-01
2.094400e+00	2.356200e+00	1.071429e+00	6.185896e-01	6.185896e-01
2.356200e+00	2.618000e+00	1.428571e+00	7.142857e-01	7.142857e-01
2.618000e+00	2.879800e+00	1.428571e+00	7.142857e-01	7.142857e-01
2.879800e+00	3.141600e+00	1.071429e+00	6.185896e-01	6.185896e-01
# END HISTO1D

